fips,pollutant,year,pred_wght,state_abbr,lat,lon
5021,co,2015,0.182493071,AR,36.37069516,-90.37246221
5023,co,2015,0.229393613,AR,35.51023567,-92.03745908
5025,co,2015,0.215930369,AR,33.91498506,-92.13913792
5027,co,2015,0.229936596,AR,33.25804448,-93.24744093
5029,co,2015,0.220665115,AR,35.21448586,-92.70412129
5031,co,2015,0.208546516,AR,35.83523434,-90.66932492
5033,co,2015,0.223047153,AR,35.49688247,-94.28433773
5035,co,2015,0.201497853,AR,35.17735707,-90.21728363
5037,co,2015,0.180487684,AR,35.25283434,-90.77530772
5039,co,2015,0.231259014,AR,33.86921373,-92.52722387
5041,co,2015,0.166569437,AR,33.7738388,-91.4175405
5043,co,2015,0.220574908,AR,33.62740429,-91.78176542
5045,co,2015,0.230399045,AR,35.10491897,-92.40534486
5047,co,2015,0.217617092,AR,35.44610109,-93.88539718
5049,co,2015,0.219837006,AR,36.37678736,-91.7649084
5051,co,2015,0.233282503,AR,34.50581075,-93.08183354
5053,co,2015,0.227346128,AR,34.30917459,-92.41270572
5055,co,2015,0.206682738,AR,36.07311961,-90.52299768
5057,co,2015,0.223934859,AR,33.69964584,-93.62361889
5059,co,2015,0.225514774,AR,34.35346394,-92.89455579
5061,co,2015,0.224397109,AR,33.98319682,-93.9102428
5063,co,2015,0.220403149,AR,35.74980027,-91.60753756
5065,co,2015,0.221141916,AR,36.12021471,-91.90843489
5067,co,2015,0.176615594,AR,35.62110099,-91.24617421
5069,co,2015,0.229744649,AR,34.23347283,-92.04118551
5071,co,2015,0.218421738,AR,35.47527202,-93.47552949
5073,co,2015,0.218702741,AR,33.28763096,-93.55747339
5075,co,2015,0.188690449,AR,36.07022702,-91.06575355
5077,co,2015,0.16590578,AR,34.78521452,-90.77448663
5079,co,2015,0.187921688,AR,33.97538818,-91.7461815
5081,co,2015,0.220734588,AR,33.70051703,-94.19604944
5083,co,2015,0.220687781,AR,35.2275354,-93.76798382
5085,co,2015,0.209451409,AR,34.90517645,-91.97062744
5087,co,2015,0.212331902,AR,36.06131042,-93.75528858
5089,co,2015,0.221238961,AR,36.28456713,-92.66336843
5091,co,2015,0.239692963,AR,33.40083038,-93.98753628
5093,co,2015,0.174386538,AR,35.84288011,-89.99897115
5095,co,2015,0.175232293,AR,34.77772992,-91.21799566
5097,co,2015,0.215698064,AR,34.5170136,-93.62269596
5099,co,2015,0.218180293,AR,33.72216702,-93.35810987
5101,co,2015,0.211670564,AR,35.98494438,-93.17046257
5103,co,2015,0.228322126,AR,33.57446073,-92.83882956
5105,co,2015,0.217020059,AR,34.99905034,-92.77925064
5107,co,2015,0.18974792,AR,34.52976559,-90.70776965
5109,co,2015,0.221401304,AR,34.18730029,-93.62475382
5111,co,2015,0.171472175,AR,35.6019108,-90.55799354
5113,co,2015,0.221590778,AR,34.52045019,-94.25845955
5115,co,2015,0.229180262,AR,35.30977477,-93.09723611
